R&amp;S Święcińscy #         biuro@wtryskownia.eu     #(85) 743 80 30
Firma Handlowa Kaczyński Dorota Kaczyńska #         fh.kaczynski@wp.pl     #(85) 743 71 27
Firma Handlowo-Produkcyjna Lompart Cezary #         biuro@lompart.pl     #Oceń firmę i napisz o niej opinię:
Firma Handlowo-Usługowa -Produkcyjna Stan-Skate #         mozejko@hot.pl     #603 822 010
Firma Kraspol Jarosław Krasowski #         kras-pol@wp.pl     #(86) 275 21 17
Fleks Gabriela Przedsiębiorstwo Produkcyjno-Usługowe ##604 477 385
Focus Sp. z o.o. ##(85) 653 10 60
Fokus Produkcja i Sprzedaż Zniczy Piotr Pasiuk ##501 499 727
Format Hurtownia Systemów Alarmowych #         biuro@format-ms.pl     #(85) 662 33 77
Fortes Edyta Marzena Hanusiak ##798 894 789
Foto - Wideo Zalewscy Wojciech Zalewski ##693 338 900
Foto Fun! Łukasz Białozor #         fotofun.filmowanie@gmail.com     #509 626 268
Foxia Katarzyna Sierakowska #         k.sierakowska@o2.pl     #Oceń firmę i napisz o niej opinię:
Francesca Film Agata Chwaszczewska #         agatachwaszczewska@gmail.com     #510 837 284
Francuskie Systemy Aluminiowe Sp. z o.o. #         biuro@fsa.net.pl     #668 288 796
Franko Dystrybucja Sp. z o.o. ##(85) 676 04 32
Futurevision Agnieszka Korzeniecka-Czaban ##603 281 772
Fux Przedsiebiorstwo Produkcyjno-Handlowo-Usługowe Bartłomiej Fuks #         firma@fux-collection.pl     #604 778 209
Gabifilm Wideofilmowanie Rafał Supiński #         gabifilm@wp.pl     #(85) 674 66 21
Gabro Wojciech Dąbrowski #         gmd@op.pl     #(85) 719 40 29
Gaia Sp. z o.o. ##(85) 664 23 07
Gaia Sp. z o.o. Magazyn ##(85) 676 00 44
Gajecki Janusz Kamieniarstwo ##601 566 181
Gamma Przedsiębiorstwo Handlowo-Usługowe Krzysztof Krasowski ##(85) 655 38 94
Gapavic PHU Marta Uszyńska #         musz@poczta.onet.pl     #792 700 787
Garden Przedsiębiorstwo Handlowo-Usługowe ##(85) 653 84 04
Gd Windows Sp. z o.o. #         biuro@gdwindows.pl     #Oceń firmę i napisz o niej opinię:
Gese Gold E. Karetko, K. Markowska Sp. J. ##570 440 673
Gesso Maciej Mikołajczyk ##604 563 775
Getaks Krzysztof Siernicki ##(87) 566 72 04
Gierczak Walentyna Uprawa Kwiatów ##(85) 661 39 53
Giluplu Marlena Mielech #         giluplu.handmade@gmail.com     #Oceń firmę i napisz o niej opinię:
Glass 4 You Jacek Kajewski #         glass4you@op.pl     #602 115 466
Glińska Celina Zakład Cukierniczy ##(87) 568 70 29
Globe Paweł Kulesza #         globe3@o2.pl     #602 340 043
Godan-Blue Point Sp.j. K. i Z. Jaśkiewicz ##(85) 740 69 69
Golfman Franjo Skorupski #         kipotgolfman@gmail.com     #(85) 746 33 74
Goner Steel Sp. z o.o. Sp.k. ##(85) 878 14 00
Gorteks Sp. z o.o. Sp.k. ##(85) 652 47 77
Gospodarstwo Ogrodnicze Antonowicz Grzegorz ##604 997 956
Gospodarstwo Ogrodnicze Cudowski Tomasz ##(85) 719 13 36
Gospodarstwo Ogrodnicze Jerzy Wilczewski ##(85) 721 50 30
Gospodarstwo Ogrodnicze Korolczuk #         kwiaty@korolczuk.com.pl     #502 509 957
Gospodarstwo Rybackie Sp. z o.o. #         grelk@neostrada.pl     #(85) 716 70 24
Gospodarstwo Sadowniczo-Szkółkarskie Danuta i Mirosław Skibiccy ##(85) 743 18 13
Gotar S.C. K. Chańko A. Bankiewicz #         chanko@wp.pl     #(85) 741 94 49
Gotolet S.C. Przedsiębiorstwo Produkcyjno-Usługowe #         chanko@wp.pl     #602 487 133
Gp-Stone Sp. z o.o. #         info@gp-stone.pl     #Oceń firmę i napisz o niej opinię:
Gracya Dom Mody Teresa Słonicz ##(85) 676 15 98
Graf L. Kotowicz ##(85) 730 31 02
Grand Wideo Studio Gromko Piotr #         grandstudio@vp.pl     #(85) 663 53 66
Granit Dorota Darmetko ##504 056 237
Granit Kamieniarstwo Łukasz Pulwin #         lukaszlipiec1984@wp.pl     #514 049 955
Granmal Zakład Kamieniarski Krzysztof Maleszewski #         granmal@wp.pl     #793 568 127
Greg-Mart Schody i Podłogi Grzegorz Martynowicz #         biuro@greg-mart.pl     #(85) 710 42 62
Gremza Agnieszka Gospodarstwo Rodzinne #         gremza@op.pl     #(85) 721 93 23
Gryfloader Sp. z o.o. ##508 510 517
Grześ Mała Gastronomia Grzegorz Domachowski #         grzegorzdomachowski1971@gmail.com     #Oceń firmę i napisz o niej opinię:
GS Samopomoc Chłopska Magazyn Artykułów do Produkcji Rolnej ##(87) 568 50 29
GS Samopomoc Chłopska Sklep nr 10 z Artykułami do Produkcji Rolnej ##(85) 712 10 55
Gudan Produkcja Handel Usługi Robert Gudan #         gudi1@tlen.pl     #506 770 032
Gumpol Polmozbyt Bogdan Kaczyński #         gumpol@op.pl     #(86) 271 35 11
Haft Reklamowy Salaam Dżenetta Adamowicz ##793 454 547
Hager Polo Sp. z o.o. ##603 784 687
Halkon Przedsiębiorstwo Produkcyjno-Handlowo-Usługowe ##604 271 230
Handel - Usługi - Produkcja Tadeusz Zimnoch ##600 200 422
Handel Artykułami Produkcji Rolnej i Leśnej Grażyna Karczewska #         handel.runo.lesne@gmail.com     #Oceń firmę i napisz o niej opinię:
Handel i Produkcja Drzewna Tomasz Chraboł #         chraboltomasz@wp.pl     #602 449 270
Handel Usługi Produkcja - Krzysztof Krasowski ##(85) 868 40 94
Handlopex S.A. #         bialystok@handlopex.pl     #(85) 741 09 25
Handlowo-Produkcyjna Spółdzielnia Pracy Sklep z Artykułami do Produkcji Rolnej ##(85) 683 25 70
Hansa Sp. z o.o. ##(85) 743 72 80
Henda S.C. Andrzej Duchnowski, Beata Duchnowska, Henryk Duchnowski ##509 287 704
Henda S.C. Andrzej Duchnowski Henryk Duchnowski #         henda@o2.pl     #501 546 315
Henrykh Pauliuchyk ##886 355 583
Her-Mur Usługi Kamieniarskie Karol Hermaniuk #         karolhermaniuk@op.pl     #Oceń firmę i napisz o niej opinię:
Holak Jarosław Haraburda Zenon S.C. Gospodarstwo Rybackie #         jaroslaw.holak@wp.pl     #(86) 272 14 11
Hominet Marek Piekart #         mepiekart@wp.pl     #Oceń firmę i napisz o niej opinię:
Hugnluv Sp. z o.o. #         milosz.palka@gmail.com     #519 340 638
Huryń Filip Zakład Produkcji Przyczep Towarowych #         zppt-bialystok@o2.pl     #603 282 006
Hydro Oceanik Andrzej Tarasewicz ##607 506 216
Ikorol Sp. z o.o. ##690 685 640
Indyk Podlaski S.C. Ewa Ozorowska Monika Omielańczyk ##665 575 559
Inhaft Sylwia Niedźwiecka ##513 953 542
Inox Kozłowski Paweł ##503 600 103
Inox Trade Daniel Jasionowski #         biuro@inoxtrade.pl     #733 808 315
Instytut Innowacji i Technologii Politechniki Białostockiej Sp. z o.o. Zakład Produkcji Doświadczalnej i Usług Technicznych ##(85) 746 98 72
Instytut Nowych Technologii Sp. z o.o. #         annaromanowska@o2.pl     #606 258 657
Instytut Włókien Naturalnych i Roślin Zielarskich Oddział Zakład Doświadczalny ##(87) 644 91 01
Internet Cardio Services Sp. z o.o. #         ics@icservices.pl     #Oceń firmę i napisz o niej opinię:
Internetowy Sklep z Bielizną Damską Tiffanie #         sklep@matlingerie.pl     #516 577 795
Inter-Tech Factory Sp. z o.o. #         l.wojtas@itparts.com.pl     #504 060 181
IST Katarzyna Pawlińska #         kate.pawlinska@gmail.com     #506 258 699
Itech Global Sp. z o.o. #         itechsklep@gmail.com     #501 654 278
Ivon Rafał Ptaszyński ##(85) 869 14 31
Iwaniuk Eugeniusz Kamieniarstwo Wyrób Nagrobków #         gienioiwan@wp.pl     #503 522 229
IwDeco #         iwdeco@wp.pl     #Oceń firmę i napisz o niej opinię:
Izabela Skrodzka PHU Kwadrat ##510 538 725
Izoline Joanna Ciechanowicz ##509 967 531
Jackowski Art Sp. z o.o. #         office@jackowskiart.com     #609 498 528
Jaćwing Granit Walendzewicz Krzysztof Walendzewicz #         jacwing.granit@poczta.onet.pl     #508 262 042
Jakbud Mirosław Jakimiuk ##512 298 347
Jakub Targoński Proinf - Usługi Influence #         halik92@gmail.com     #Oceń firmę i napisz o niej opinię:
Jankowski Wojciech Produkcja Handel Usługi #         ogrodzeplac@gmail.com     #605 489 681
Janplast PPUH Urszula Szymczyk- Jarocka ##608 433 164
Janusz Brodowski ##605 225 894
Janusz Kozikowski PHP ##606 729 480
Jastin Justyna Świątkowska ##692 490 888
Jawor Produkcja Handel Usługi Antoni Wiśniewski ##(85) 737 50 34
Jedna i Druga Agata Cimoch #         agata.cimoch@wp.pl     #785 282 728
Jk Synergy Sp. z o.o. ##600 239 899
Jke Jakub Kakareko #         kuba.kakareko@gmail.com     #508 186 496
JMT Drzwi &amp; Okna Przedsiębiorstwo Budowlane J. Micór M. Minta Sp.j. #         jmtdrzwiokna@o2.pl     #502 602 208
JN - Jolanta Nierodzik #         szycie-jolcia121345@wp.pl     #533 984 315
Joanna Lulewicz PRODUKCJA I SPRZEDAŻ MEBLI ##606 255 532
Joanna Radziszewska Petelka Joanna Radziszewska ##512 245 414
Jobimet Sp. z o.o. #         firma@jobimet.pl     #(85) 740 22 99
Joker Junior Jakub Buraczewski #         jokerjunior@op.pl     #(85) 732 97 76
Jork S.C. Ossowski Jarosław Ossowska Teresa Łapiński Krzysztof #         jorksc@wp.pl     #(85) 662 17 07
Józef Sawosz ##(85) 675 15 31
Jukal Produkcja - Handel - Usługi Lucyna Szmygiel ##696 174 222
Julia Rogowska #         julia.rogowska@gmail.com     #509 224 564
Jumitex Sp. z o.o. #         jumitex@jumitex.com.pl     #(85) 741 41 18
Junajt Przedsiębiorstwo Handlowe Tomasz Jastrzębski ##(86) 271 25 71
Junkiewicz Kwiaciarnia Dom Pogrzebowy Marek Nowak #         marekn2504@gmail.com     #510 865 344
Just Married Wideo Krzysztof Łapiński ##(85) 814 16 20
Just Married Wideo S.C. Rafał Łapiński Maciej Mikołajczyk ##600 514 398
Just Married Wideo Sp. z o.o. ##604 563 775
Just Married Wideo Wojciech Tomaszewski ##(85) 715 20 40
Justyna Sochoń Asanti PPHU #         justyna-sochon1@wp.pl     #883 206 819
JW Granit Jan Wiśniewski #         granit@jwgranit.pl     #(86) 219 10 01
K - 2 - Juliusz Karwowski #         juliuszk-2@wp.pl     #(85) 742 18 16
Kafel-Kar Kaflarnia Rafał Karny #         kafle@kafel-kar.pl     #(85) 747 49 80
Kaj - Spaw Krzysztof Bach #         krzysiekbach@wp.pl     #509 578 772
Kalinowski Zbigniew Zakład Betoniarsko Kamieniarski ##(87) 568 85 47
Kaliszuk Eugeniusz ##502 565 888
Kal-Plast Produkcja Okien i Drzwi PCV #         kal.plast.biuro1@gmail.com     #(85) 716 59 20
Kal-Plast Produkcja Okien Janusz Safiejko #         kal.plast.biuro1@gmail.com     #(85) 716 59 20
Kama Sp.j. ##(85) 718 58 13
Kam-Bud Magdalena Liszkowska #         poczta@kambud.sejny.pl     #509 173 570
Kamieniarskie Usługi Mariusz Urynowicz #         mariusz.uryn@wp.pl     #785 709 090
Kamieniarstwo - Jerzy Zajączkowski ##(85) 741 88 19
Kamieniarstwo Artystyczne Daniel Romejko ##600 888 155
Kamieniarstwo Dariusz Łotowski #         dareklotowski@wp.pl     #(85) 719 30 52
Kamieniarstwo Józef Lech Buczyński ##604 240 119
Kamieniarstwo Kastom ##696 441 332
Kamieniarstwo Krzysztof Sawicki ##503 615 328
Kamienie Adama - Adam Horczak ##502 460 075
Kamil Sp.j. #         kamil.sp@op.pl     #(85) 715 16 65
Kamila Zubrycka ##602 690 011
Kamiński Tomasz Zakład Elektroniki Telemetrii i Automatyki ##(87) 567 08 13
Kampol Paweł Chorąży #         pchorazy80@gmail.com     #Oceń firmę i napisz o niej opinię:
Kamston S.C. #         biuro@kamston.pl     #(85) 732 23 28
Kamston Sp. z o.o. ##606 243 983
Kamstone Sp. z o.o. #         biuro@kamston.pl     #509 766 333
Kamyk Zakład Kamieniarski Bartosz Bałakier #         kamieniarz@zkkamyk.pl     #603 926 916
Kapelewski Henryk Sklep z Artykułami do Produkcji Rolnej ##(86) 219 60 60
Karmelek Podlaski Manufaktura Cukiernicza Marta Suszko-Zaczeniuk ##508 384 579
Karny Tadeusz Pracownia Kowalstwa Artystycznego #         tadeusz_karny@wp.pl     #(85) 663 27 66
Karny Tadeusz Pracownia Kowalstwa Artystycznego #         tadeusz_karny@wp.pl     #604 253 145
Karol Tomulewicz ##510 876 306
Katruk Henryk Gospodarstwo Ogrodnicze ##602 802 629
Kebbar Sp. z o.o. ##(86) 270 60 81
KEM Karol Moczulski #         karolmoczulski@interia.pl     #Oceń firmę i napisz o niej opinię:
Kinga Sp. z o.o. i Wspólnicy Sp.k. #         ewakostrzewa1985mari@gmail.com     #664 118 198
Koja Firma Janina Konopka ##(86) 278 51 22
Kompania Piwowarska S.A. Browar Dojlidy ##(85) 676 91 01
Komplement S.C. Firma Produkcyjno-Handlowa Agnieszka Leszczyńska Jarosław Leszczyński #         leszczynski.jaroslaw@poczta.fm     #882 795 156
Koncewicz Jarosław Usługi Kamieniarskie #         jkoncewicz@wp.pl     #(87) 643 25 60
Kostar Dariusz Kowalski #         dariuszkow1@wp.pl     #(85) 653 01 58
Kostro Władysław Sprzedaż Środków do Produkcji Rolnej #         hsdprkostro@onet.eu     #Oceń firmę i napisz o niej opinię:
Kostrzewski Konrad Wydawnictwo #         konradkostrzewski@wp.pl     #Oceń firmę i napisz o niej opinię:
Kotlewski Andrzej Młyn Handlowo-Produkcyjny ##504 074 956
Kozłowski Janusz Młyn Elektryczny #         mlyn.kozlowski@vp.pl     #(85) 716 91 64
Kreatywnie Małgorzata Szumińska #         malgorzataszuminska@gmail.com     #513 848 353
Kris- Serwice Krzysztof Nowosada Obsługa i Serwis Maszyn Do Produkcji Folii PET ##691 592 390
Król Król Marzenna #         shop@kroljewellery.pl     #514 042 229
Kruszewscy M. M. Szkółka Krzewów Ozdobnyc #         kruszewscy.szkolka@wp.pl     #Oceń firmę i napisz o niej opinię:
Krx Produce Mateusz Kozłowski #         kontakt@krxproduce.pl     #Oceń firmę i napisz o niej opinię:
Kryskon Paweł Kondzior ##606 988 000
Krystyna Kamińska Usługi Gastronomiczne - Masarnicze ##(86) 217 91 36
Krystyna Szeszko - Landstrój #         landstrojpl@gmail.com     #792 680 914
Kryszeń S.C. Zakład Ciastkarski ##(85) 742 20 90
Krzysztof Jezierski Dziennikarz #         kj.dziennikarz@gmail.com     #Oceń firmę i napisz o niej opinię:
Kuar Polska Katarzyna Zamejć-Kuklińska #         kzk@kuar.pl     #509 915 969
Laboratory Laudor Sp. z o.o. #         kontakt@idealnature.pl     #793 690 735
Lait PPUH Urszula Sójka ##(87) 516 11 03
Laktopol-A Sp. z o.o. Biuro Handlowe #         laktopol_a@pro.onet.pl     #Oceń firmę i napisz o niej opinię:
Lareco Mikołaj Zińczuk ##(85) 655 34 46
Laurencja FHP Laurencja Kaliszewicz #         carllos@carllos.pl     #512 757 497
Le Vernis - Luxury Lingerie #         biuro@le-vernis.pl     #508 510 155
Lech Garmażeria Staropolska Sp. z o.o. #         jan@lech.bialystok.pl     #(85) 713 21 11
Lech Garmażeria Staropolska Sp. z o.o. Sp.k. #         handel@lech.bialystok.pl     #(85) 713 21 11
Lech Zakład Produkcji Garmażeryjnej Lech Zwolan ##(85) 653 49 06
Lech Zakład Produkcji Garmażeryjnej Lech Zwolan ##(85) 747 42 11
Lech Zakład Produkcji Garmażeryjnej Lech Zwolan Gościnny Dom ##(85) 662 72 57
Legrand Polska Sp. z o.o. ##(85) 664 75 25
Letniskowo.pl S.C. Jacek Solka Marek Garkowski ##784 914 501
Lewkor Karol Lewko #         karol-lewko@wp.pl     #Oceń firmę i napisz o niej opinię:
Lila Produkcja Opakowań Barbara Oźlańska #         lila19a@wp.pl     #(87) 643 74 58
Litpol Sp. z o.o. ##(87) 566 07 02
Lobos PPHU Krzysztof Drozdowski #         biuro@lobos-chemia.pl     #(85) 654 69 53
Lodziarnia u Włodka Franciszek Włodkowski ##(86) 272 24 00
Lodziarz.pl Ogólnopolskie Centrum Zaopatrzenia Lodziarni ##505 840 001
Lodziarz.Pl Sp. z o.o. Sp.k. ##884 858 585
Lotos Sp.j. Zakład Pracy Chronionej Dąbrowscy Święcicki ##(85) 653 56 01
Lucit Katarzyna Grądzka #         grad.82@wp.pl     #505 231 590
Lukas Bernecki Slash Studio #         lukas.bernecki@gmail.com     #605 227 355
Luksa Zakład Mięsny Sylwia Bayraktar #         zakladmiesny@onet.pl     #512 056 034
Łagoda Andrzej Zakład Kamieniarsko-Betoniarski #         klaudi2002@poczta.onet.pl     #(85) 730 48 88
Łepkowski Bogdan i Wioletta S.C. Masarnia ##(86) 216 23 74
Łuczaj Dariusz i Ryszard Zakład Kamieniarski ##(85) 730 69 88
Łukasz Dżega #         info@securityzone.pl     #730 364 959
Łukasz Skrodzki Wyroby Czekoladowe #         lukaszskrodzki91@gmail.com     #Oceń firmę i napisz o niej opinię:
Łuniewscy Sp. z o.o. #         zmluniewscy@vp.pl     #Oceń firmę i napisz o niej opinię:
Łuniewscy Zakłady Mięsne Eugeniusz Łuniewski #         zmluniewscy@vp.pl     #798 543 507
M Sp. j. Zakład Masarski Ostaszewski i Pachwicewicz Sklep 14 #         biuro@mzakladmasarski.pl     #(85) 730 97 99
M Stillo Dr.Auto Mariola Drągowska ##695 639 393
M Zakład Masarski i.Pachwicewicz M.Bondarczuk Ł.Rutkowski - Sp. J. ##(85) 730 97 99
Macro-D Przedsiębiorstwo Handlowo - Usługowo - Produkcyjne Danuta Dębek ##603 312 365
Madeline Pracownia Cukiernicza Magda Kiertowicz #         magda.kiertowicz@gmail.com     #531 201 697
Madom Maciej Drzewiński #         madom@onet.com.pl     #504 034 534
Mag Małgorzata Mroczkowska ##780 113 659
Magdalena Pansegrouw, Lawendowy Staw #         info@lawendowystaw.pl     #Oceń firmę i napisz o niej opinię:
Magia Obrazu Paweł Jędras #         yewa@interia.pl     #662 019 516
Magnolia S.C. Hurtownia Kwiatów Tomasz Biedul Ryszard Modzelewski ##(86) 272 60 99
Magnum Aleksandra Tyszka-Filipek Sp. z o.o. ##602 196 779
Magrol Sprzedaż Artykułów Do Produkcji Rolnej Zdzisław Wierciński ##(86) 274 12 52
Maik Przedsiębiorstwo Handlowo-Usługowe Antoni Szklarzewski ##600 435 455
Ma.Ja. Pracownia Krawiecka Marzena Jałbrzykowska #         marzenaj28a@wp.pl     #886 588 960
Maks Krzysztof Stasiewicz - Wspólnik Spółki Cywilnej #         kkstasiewicz@gmail.com     #(85) 743 76 63
Malem S.C.Roszkowscy Maria i Lech Białystok ##(85) 651 01 31
Małgorzata Wojtach Masarnia Biebrzańskie Smaki. ##506 136 885
Małrol Punkt Sprzedaży Materiałów do Produkcji Rolnej Małgorzata Kołodko #         biuro.malrol@wp.pl     #(85) 719 28 08
Mama Zrobiła - Sylwia Gwardiak #         sylwia@gwardiak.com     #Oceń firmę i napisz o niej opinię:
Manufaktura Sp. z o.o. ##(85) 741 82 96
Maral Zakład Krawiecki Alina Marchiel ##(85) 663 18 45
Marand A. Półkośnik i Wspólnicy Spółka jawna #         marand2@poczta.onet.pl     #(85) 879 90 70
Marcin Świątkowski Usługi Kamieniarskie ##(86) 275 08 75
Marcopol Sp. z o.o. Producent Śrub Biuro Handlowe #         bialystok@marcopol.com.pl     #(85) 652 67 85
Marek Kitlas Zakład Pomnikarski #         mareckki@wp.pl     #Oceń firmę i napisz o niej opinię:
Marek Skrodzki Almix #         almix.sc@op.pl     #(86) 273 86 86
Marka Firma Usługowo - Handlowa Andrzej Gosk ##(86) 218 31 43
Marmur Granit Kazimierz Sokół #         kazimierz-sokol@wp.pl     #603 633 722
Maryna Przedsiębiorstwo Wielobranżowe Marianna Pilis ##608 584 837
Masarnia Tradycyjna - Pietraszuk Agnieszka ##515 399 949
Master Serwis Opon Spółka z o.o. ##(85) 746 61 39
Mat-Wood -Produkcja Fryzy Tartacznej Mateusz Truchanowicz #         mateusz_tr159@wp.pl     #Oceń firmę i napisz o niej opinię:
Matysiak Bożena Produkcja i Sprzedaż Zniczy ##698 885 444
Matysiak Wojciech ##608 021 383
Mazowieckie Zakłady Graficzne S.C. ##(86) 275 41 31
Mazurek Mirosław Mazurek ##(85) 655 23 88
Mazurek S.C. ##(85) 655 23 88
Mechanika Maszyn i Urządzeń Rolniczych Zygmunt Babiński #         babinskizawady@interia.pl     #602 785 408
Mendrycki Wiktor Produkcja Opakowań z Papieru i Tektury ##604 357 795
Mera PPH Sp. z o.o. ##(85) 664 44 21
Meredyk Electronics Produkcja Usługi Handel Adam Meredyk ##601 397 116
Messi Hubert Szekalski ##600 203 666
Metal Fach Sp z o.o. #         biuro@metalfach.com.pl     #(85) 711 07 88
Męczkowski Andrzej Zakład Produkcji Elementów Budowlanych #         mj@mj.com.pl     #(86) 217 25 42
Męczkowski Andrzej Zakład Produkcji Elementów Budowlanych ##(86) 217 25 42
Michał Foremniak ##793 383 734
Michał Pęza Mmpstudio #         mmpstudiovideo@gmail.com     #794 143 964
Michno Tomasz Zakład Kamieniarski #         tommi1801@wp.pl     #Oceń firmę i napisz o niej opinię:
MIĘSNY ZAKĄTEK Wyrób Wędlin Fabian Niemyjski ##694 769 769
Mini Masarnia Mlo Daro Dariusz Macierzyński #         madar5@wp.pl     #Oceń firmę i napisz o niej opinię:
Minmar Zakład Produkcyjno-Usługowo-Handlowy Marek Minkiewicz ##(85) 717 04 54
Miodosytnia Podlaska Dawid Olesiuk #         dolesiuk@gmail.com     #694 239 960
Miodowa Mydlarnia Marek Guszczyn #         marek.guszczyn@interia.pl     #603 959 933
Miodowa Mydlarnia Sp. z o.o. #         sklep@miodowamydlarnia.pl     #Oceń firmę i napisz o niej opinię:
Mirmięs Przedsiębiorstwo Produkcyjno-Handlowo-Usługowe Mirosław Kozłowski #         pphumirmies@interia.pl     #(85) 749 29 86
Mirosław Szczechura Mirex Mirosław Szczechura ##502 284 698
Misiejuk Jerzy Produkcja Programów Telewizyjnych ##609 048 506
Mispol S.A. ##(87) 565 42 10
M.Kalisz S.C. Wojciech Kalisz Elżbieta ##604 170 711
Mlekovita Sp. z o.o. #         mlekovita_bielsk@poczta.onet.pl     #(85) 730 59 30
Mlekovita Sp. z o.o. ##(86) 275 82 00
Mlekpol Spółdzielnia Mleczarska Zakład Produkcji Mleczarskiej ##(86) 278 32 33
Mlekpol Spółdzielnia Mleczarska Zakład Produkcji Mleczarskiej ##(87) 516 22 89
Mlekpol Zakład Produkcji Mleczarskiej ##(86) 271 20 29
ML-Tech Sp. z o.o. #         biuro@mltech.pl     #535 620 033
M&amp;M S.C. Phu Janusz Mika, Piotr Marku #         markupiotr@gmail.com     #606 777 774
Modmart Marta Krzesiewicz- Wpólnik Spółki Cywilnej #         biuro@drleon.pl     #604 777 668
Moniecka Spółdzielnia Mleczarska w Mońkach ##(85) 727 83 00
Monika Przedsiębiorstwo Produkcyjno-Handlowo-Usługowe Jan Łuczak i Monika Łuczak #         bluzki-monika@wp.pl     #(85) 652 65 68
Monika Sidorczuk Pracownia Krawiecka #         monikasidorek406@interia.pl     #Oceń firmę i napisz o niej opinię:
Morko Media Agnieszka Morko #         morkomedia@gmail.com     #Oceń firmę i napisz o niej opinię:
Moroz Firma Produkcyjno-Usługowo-Handlowa #         anatol.moroz@wp.pl     #(85) 682 43 33
Mortel Andrzej Rzeźnictwo ##(85) 737 70 55
Motor Marcin Lenarciak ##(85) 744 20 44
Motor Marcin Lenarciak Hurtownia Opon i Felg ##(85) 744 20 44
Motor Tread Sp. z o.o. ##(85) 719 12 76
Mo.Ya Fashion Barbara Piekut #         kontakt@moyafashion.pl     #Oceń firmę i napisz o niej opinię:
Msg Granit Swatkowscy Sp. J. #         kamieniarzbialystok@op.pl     #(85) 718 82 91
MTC Inwestycje Sp. z o.o. ##(85) 743 30 43
Muma Studio Sebastian Łukaszuk #         slukaszuk@gmail.com     #Oceń firmę i napisz o niej opinię:
Mybluprint Robert Kosobudzki #         robert-tomek27@o2.pl     #Oceń firmę i napisz o niej opinię:
Myname Dawid Lesisz #         handlowy@kinga.com.pl     #Oceń firmę i napisz o niej opinię:
Naglik Firma Kamieniarska Iwona Naglik #         biuro@naglik.co     #(87) 642 41 14
Nagrobki Włodzimierz Maciuka ##696 678 911
NAJ Konstrukcje i Wyroby z Drewna Jan Pużuk #         naj@naj.bialystok.pl     #609 555 046
Naja Media Press Joanna Przewłocka #         najamedia@interia.pl     #(85) 654 58 86
Napoleon Meble Zakład Produkcji Mebli Piotr Drewnowski ##604 785 438
Naszsmak Maciej Moniuszko #         maciejmoniuszko@wp.pl     #Oceń firmę i napisz o niej opinię:
Natalia Wujek Dawid Dmitryjuk Cbc S.C. #         piotr.porowski@gmail.com     #Oceń firmę i napisz o niej opinię:
Natron Krzysztof Swatek #         natron@op.pl     #Oceń firmę i napisz o niej opinię:
Nd Plus Sp. z o.o. S.K.A. ##(85) 743 56 40
Neat Meat Sp. z o.o. #         sklep@nielone.pl     #Oceń firmę i napisz o niej opinię:
Neoline Marek Białokoz ##501 559 800
Neotech Sp. z o.o. ##(85) 675 56 32
Niemyńska Firma Kamieniarska Niemyńska Wiesława ##(85) 741 85 21
Niewiarowska-Wądolna Danuta Zakład Betoniarsko-Kamieniarski #         danuta18@op.pl     #Oceń firmę i napisz o niej opinię:
Nikitiuk Jarosław Usługi Remontowo-Budowlane ##(85) 730 06 96
Nortle Sp. z o.o. Energy Sp.k. ##(85) 715 40 62
NOVA HURT #         info@novahurt.pl     #782 700 093
Nysztor Jarosław Zakład Naprawy Ciągników ##691 863 101
Oknostyl Andrzej Uszyński ##534 331 090
Okręgowa Spółdzielnia Mleczarska w Hajnówce #         m.lukaszuk@osmhajnowka.pl     #(85) 682 95 43
Okręgowa Spółdzielnia Mleczarska w Piątnicy ##(86) 215 64 00
OLD Polish Vodka Sp. z o.o. ##(85) 655 13 25
Oleńka Ewa Pęcak ##504 211 237
Olmet Przedsiębiorstwo Produkcyjno-Handlowo-Usługowe Marcin Olender ##662 662 777
Oltex Wojciech Olizarowicz ##(85) 710 15 98
One Lingerie Małgorzata Wróblewska #         onelingerie@wp.pl     #512 719 500
Oniśko Jan Zakład Betoniarsko-Kamieniarski ##(85) 710 28 60
Onoff Barbara Janulis #         janulisbarbara@gmail.com     #Oceń firmę i napisz o niej opinię:
Onset Mieszko Popławski #         mieszko.poplawski@gmail.com     #Oceń firmę i napisz o niej opinię:
Oponex Mirosław Kalinowski #         oponexmk@op.pl     #693 513 616
Oskar-Żaluzje Jarosław Kiersnowski ##606 644 656
Osso Film Mateusz Osowski - Operator Obrazu #         mat.osowski@gmail.com     #668 249 205
Ostrovia Sp.j. ##(85) 722 14 19
Pabe Firma Konfekcyjna Bolesław Bujnowski ##608 697 613
Padma Art Sp. z o.o. #         padma@post.pl     #(87) 566 24 68
Palarnia Kawy Świata Krzysztof Szyłkowski #         k.szylkowski@o2.pl     #Oceń firmę i napisz o niej opinię:
Panasewicz Krzysztof Rośliny ##602 797 964
Parkos Media Ireneusz Prokopiuk ##609 651 624
Patryk Matowicki Zakład Kamieniarski #         Zaklad.kamieniarski.matowicki@gmail.com     #790 665 824
Paweł Łabacz Almix #         almix.sc@op.pl     #(86) 273 86 86
Paweł Trofimiuk Produkcja i Sprzedaż Zniczy #         ptrofimiuk@wp.pl     #660 766 385
Pectur Sp. z o.o. #         pectur_wedliny@yahoo.pl     #(85) 721 95 12
Perkpol Sp.j. Zakład Przetwórstwa Mięsnego #         patrycjiuszkludka@gmail.com     #(85) 719 10 02
