Geosas Piotr Sasin #         geosas@wp.pl     #502 248 931
Biuro Inżynieryjno-Projektowe Biprojekt Sp. z o.o. #         office@biprojekt.pl     #723 865 000
Biuro Inżynieryjno-Projektowe Elektron Karol Pytlak #         karolpytlak0133@wp.pl     #660 517 705
Biuro Inżynieryjno-Projektowe Sempol Kępno Mariusz Semba #         mariusz.semba@gmail.com     #888 459 079
Biuro Inżynieryjno-Techniczne 2b-Eco Hanna Cylkowska #         hcylkowska@gmail.com     #Oceń firmę i napisz o niej opinię:
Biuro Inżynieryjno-Techniczne Inż-Tech Zbigniew Miśkiewicz #         miskiewicz@wp.pl     #606 499 890
Biuro Inżynieryjno-Techniczne Kier mgr inż. Mieczysław Łebedyński #         bit-kier@wp.pl     #519 146 982
Biuro Miernicze Daniel Piela #         geodan@poczta.onet.pl     #601 185 865
Biuro Nieruchomości i Usług Geodezyjnych Michał Ciołecki #         biuro@bniug.pl     #609 336 086
Biuro Obsługi Inżynieryjnej Andrzej Tadeusz Kozielski #         friedel@onet.pl     #(87) 429 37 62
Biuro Obsługi Nieruchomości Invest-Geo ##664 485 537
Biuro Okręgowe Przedsiębiorstwo Geodezyjno-Kartograficzne Sp. z o.o. ##(89) 527 27 53
Biuro Okręgowe Przedsiębiorstwo Geodezyjno-Kartograficzne Sp. z o.o. #         opgk@opgk.olsztyn.pl     #Oceń firmę i napisz o niej opinię:
Biuro Pomiarów Geodezyjnych Marek Wekwart #         bpgmw@wp.pl     #(89) 541 81 57
Biuro Projektowo - Inżynieryjne Architeko Olga Sygiet #         biuro.architeko@gmail.com     #725 379 433
Biuro Projektowo Inżynieryjne Pro-Elektro Przemysław Proczek ##500 008 607
Biuro Projektowo-Inżynieryjne Bawent Łukasz Bałaj #         lukasz_balaj@op.pl     #502 207 241
Biuro Projektów i Nadzorów Budowlanych Roboty Inżynieryjne i Budowlane Edward Łacek #         e_lacek@op.pl     #693 429 776
Biuro Projektów Inżynieryjnych Infrastruktura Szymon Migocki #         bpi.infrastruktura@wp.pl     #Oceń firmę i napisz o niej opinię:
Biuro Rachunkowe Usługi Geodezyjne Romana Dziurkiewicz ##502 773 906
Biuro Rachunkowo-Inżynieryjne Rafał Wera #         biuro@weraga.pl     #660 961 461
Biuro Specjalistycznych Usług Inżynieryjnych Ekocarbon Grzegorz Gaj #         zugjaworzno@onet.eu     #Oceń firmę i napisz o niej opinię:
Biuro Urządzania Lasów i Geodezji Leśnej ##(61) 662 74 91
Biuro Usług Geodezyjno - Kartograficznych Twarowski Tadeusz #         biuro1996@op.pl     #(85) 655 68 57
Biuro Usług Geodezyjno - Kartograficznych Wiesław Wincenciak Ul. Dmowskiego 7/23 42-400 Zawiercie #         bugk@op.pl     #607 608 697
Biuro Usług Geodezyjno Kartograficznych Geo-Map Adam Gruszka #         geomapgruszka@interia.pl     #(12) 280 22 65
Biuro Usług Geodezyjno-Kartograficznych #         bugkprzybylski@o2.pl     #603 893 204
Biuro Usług Geodezyjno-Kartograficznych ~Geokad~ Marcin Walaszczyk #         geokad@wp.pl     #691 625 985
Biuro Usług Geodezyjno-Kartograficznych Geomiar inż. Stefan Majcher inż. Arkadiusz Majcher mgr inż. Robert Majcher #         geomiar@op.pl     #602 702 494
Biuro Usług Geodezyjno-Kartograficznych Geopom Bogusław Rybarczyk #         geopom2@wp.pl     #(61) 292 21 00
Biuro Usług Geodezyjno-Kartograficznych Piotr Zarzecki #         bugk.zarzecki@gmail.com     #502 701 825
Biuro Usług Geodezyjno-Kartograficznych Pomiar S.C. #         biuropomiar@o2.pl     #(81) 884 38 81
Biuro Usług Geodezyjnych #         tomasz.wolynko@gmail.com     #600 574 834
Biuro Usług Geodezyjnych - Jan Cabała Jan Głuchowski Zbigniew Królak Edward Szwandrak ##(75) 744 76 70
Biuro Usług Geodezyjnych - Jan Sawa #         sawa.jan@wp.pl     #668 199 097
Biuro Usług Geodezyjnych Adrian Łasak #         geodezja.adrian.lasak@gmail.com     #Oceń firmę i napisz o niej opinię:
Biuro Usług Geodezyjnych Anna Godlewska #         geogodlewska@gmail.com     #Oceń firmę i napisz o niej opinię:
Biuro Usług Geodezyjnych Artur Paczóski #         artur.paczoski@gmail.com     #576 200 245
Biuro Usług Geodezyjnych AZYMUT Ewa Panek #         azymut_epanek@wp.pl     #667 320 134
Biuro Usług Geodezyjnych Barbara Wójcik ##602 745 048
Biuro Usług Geodezyjnych Elev mgr inż. Aleksander Brodowicz #         elev@vp.pl     #601 409 190
Biuro Usług Geodezyjnych Eugeniusz Gąsiorowski ##503 093 553
Biuro Usług Geodezyjnych Ewelina Świeżak ##692 227 975
Biuro Usług Geodezyjnych Franciszek Lisak ##603 585 874
Biuro Usług Geodezyjnych Geo4you Kinga Glaba #         geo4you@wp.pl     #Oceń firmę i napisz o niej opinię:
Biuro Usług Geodezyjnych Geocenter Inż Łukasz Siembab #         siembab.lukasz@gmail.com     #783 617 334
Biuro Usług Geodezyjnych Geocentr Paweł Stępień #         geocentr@onet.eu     #509 964 360
Biuro Usług Geodezyjnych GEO-centrum s.c. Krzysztof Potorski, Tomasz Lorkowski ##(23) 657 35 41
Biuro Usług Geodezyjnych GEO-centrum S.C. Krzysztof Potorski Tomasz Lorkowski ##(23) 684 19 22
Biuro Usług Geodezyjnych Geodeta Jan Wołos #         jan_wolos@wp.pl     #601 311 161
Biuro Usług Geodezyjnych Geoekspert Sp.j. #         biuro@geoekspert.com.pl     #(32) 267 43 62
Biuro Usług Geodezyjnych Geo-Mar mgr inż. Marek Kowalski #         marek.geo@wp.pl     #605 433 441
Biuro Usług Geodezyjnych Geo-Projekt #         gniadkowski@poczta.onet.pl     #501 427 793
Biuro Usług Geodezyjnych Geoprojekt mgr Paweł Wiśniowski #         office@geoprojekt-zywiec.pl     #(33) 861 23 79
Biuro Usług Geodezyjnych Georad inż. Krzysztof Radłowski #         kradlowski@interia.pl     #694 225 093
Biuro Usług Geodezyjnych Georys ##(33) 844 12 24
Biuro Usług Geodezyjnych Geoteam Zdzisław Żytliński ##(67) 216 22 92
Biuro Usług Geodezyjnych Grażyna Gancarczyk ##501 608 953
Biuro Usług Geodezyjnych Grzegorz Dominiczak #         grzegorzdominiczak1@gmail.com     #500 198 238
Biuro Usług Geodezyjnych i Fotogrametrycznych Roma S.C. Robert Bąk, Magdalena Bąk #         robert.biuro@gmail.com     #Oceń firmę i napisz o niej opinię:
Biuro Usług Geodezyjnych i Kartograficznych Excentr mgr inż. Paweł Zarębski #         excentr@wp.pl     #601 991 384
Biuro Usług Geodezyjnych I Kartograficznych Geo-Alex s.c. W. Kasprzyk, B. Ziąbka, M. Kowalski #         biuro@geoalex.pl     #Oceń firmę i napisz o niej opinię:
Biuro Usług Geodezyjnych i Kartograficznych Ryszard Węgielski #         geoport@op.pl     #(61) 811 62 75
Biuro Usług Geodezyjnych i Kartograficznych Solecki Leszek ##883 350 191
Biuro Usług Geodezyjnych i Komputerowych Geo-Max Mariusz Foltyn #         mariuszfoltyn@poczta.onet.pl     #602 711 558
Biuro Usług Geodezyjnych i Projektowych Głowacki Romuald #         geo_konin@wp.pl     #609 674 560
Biuro Usług Geodezyjnych i Projektowych Kodem Sp. z o.o. #         geodezja@kodem.eu     #(58) 683 47 47
Biuro Usług Geodezyjnych i Reklamy Geo - Top #         biuro@geo-top.com.pl     #501 508 074
Biuro Usług Geodezyjnych i Wycen Nieruchomości Piotr Witczak #         geodetapw@wp.pl     #601 847 650
Biuro Usług Geodezyjnych Inter-Geo Iwetta Spadło #         iwetta@geodeta-starachowice.pl     #502 755 093
Biuro Usług Geodezyjnych inż. Andrzej Makowski #         makowski.geodeta@gmail.com     #501 718 010
Biuro Usług Geodezyjnych Jan Brzóska Andrzej Drzazga S.C. #         biuro@brzoskadrzazga.pl     #Oceń firmę i napisz o niej opinię:
Biuro Usług Geodezyjnych Jerzy Niestrój #         niestroj-kh@o2.pl     #(32) 765 97 42
Biuro Usług Geodezyjnych Józef Bogusławski #         boguslawski@op.pl     #Oceń firmę i napisz o niej opinię:
Biuro Usług Geodezyjnych Józef Kotecki #         geopan@tlen.pl     #(68) 384 33 82
Biuro Usług Geodezyjnych Krzysztof Kosmala #         uslugigeodezyjnelublin@gmail.com     #Oceń firmę i napisz o niej opinię:
Biuro Usług Geodezyjnych Krzysztof Wiśniewski #         geo-wisniewski@o2.pl     #501 342 901
Biuro Usług Geodezyjnych Magdalena Przybyła #         madziek.21@interia.pl     #Oceń firmę i napisz o niej opinię:
Biuro Usług Geodezyjnych Mariusz Dudkowski, Edward Dudkowski i Elżbieta Dudkowska S.C. ##(81) 516 10 94
Biuro Usług Geodezyjnych Mariusz Dudkowski i Edward Dudkowski S.C. ##607 647 111
Biuro Usług Geodezyjnych Mariusz Janik ##600 388 672
Biuro Usług Geodezyjnych Mar-Jan Hubar Przemysław ##532 598 799
Biuro Usług Geodezyjnych Mar-Jan Marian Raszewski #         bugmarjan@vp.pl     #Oceń firmę i napisz o niej opinię:
Biuro Usług Geodezyjnych mgr inż. Jerzy Kurek #         j_kurek@poczta.fm     #601 180 631
Biuro Usług Geodezyjnych mgr inż. Marcin Śliwa #         sliwson1@wp.pl     #734 144 017
Biuro Usług Geodezyjnych Piotr Nyk #         nyk@lodz.home.pl     #Oceń firmę i napisz o niej opinię:
Biuro Usług Geodezyjnych Przemysław Mądrowski #         geomad@op.pl     #(63) 241 65 71
Biuro Usług Geodezyjnych Radosław Warząchowski ##694 304 329
Biuro Usług Geodezyjnych Rafał Pabis #         rafalpab@poczta.onet.pl     #500 082 576
Biuro Usług Geodezyjnych Robert Wacław #         robert.waclaw@wp.pl     #781 420 050
Biuro Usług Geodezyjnych Sławomir Filipek Obsługa Budów Rozgraniczenia #         geo.filipek@interia.pl     #604 630 906
Biuro Usług Geodezyjnych Tadeusz Mazur #         geodeta@biurolublin.pl     #603 163 187
Biuro Usług Geodezyjnych Wereszczyńscy Bogdan Wereszczyński #         bogdanwereszczynski@wp.pl     #602 740 621
Biuro Usług Geodezyjnych Wiesław Pyl #         wieslaw.pu@wp.pl     #608 439 236
Biuro Usług Geodezyjnych Wojciech Bryl #         geodezja.grupag2@gmail.com     #530 015 209
Biuro Usług Geodezyjnych Wolanin Tadeusz ##504 023 933
Biuro Usług Geodezyjnych Zenit Krzysztof Czupryna #         krzysiekczupryna@op.pl     #Oceń firmę i napisz o niej opinię:
Biuro Usług Geodezyjnych Zenit S.C. Zenon Czupryna Krzysztof Czupryna #         zenitparczew@wp.pl     #501 619 415
Biuro Usług Geogezyjno-Kartograficznych Tadeusz Członka ##509 709 863
Biuro Usług Geo-Serwis Starszak Tomasz #         geoserwis1@gmail.com     #695 410 857
Biuro Usług GlobiArt Adam Korzeniewski #         a.korzeniewski@globiart.pl     #660 722 112
Biuro Usług Inżynieryjno-Projektowych Jacek Ziembicki #         biuro.buip@wp.pl     #696 690 033
Biuro Usług Inżynieryjnych Draft Dariusz Pasterkiewicz #         buidraft@wp.pl     #695 640 768
Biuro Usług Inżynieryjnych Magdalena Krakowska #         mjkrakowska@onet.pl     #694 287 134
Biuro Usług Inżynieryjnych Tomasz Kozioł #         tomekkoziol88@gmail.com     #Oceń firmę i napisz o niej opinię:
Biuro Usługowe Geodeci Maciej Wójcik #         biuro@geodeci.cieszyn.pl     #601 618 517
Bizet PUH ##(55) 278 60 59
BKP Geodex #         bkpgeodex1@gmail.com     #(32) 780 23 32
Bkr Sp. z o.o. ##601 285 844
Blinkiewicz Eugeniusz Usługi Geodezyjno-Kartograficzne ##600 842 078
Błach Edyta Pracownia Geodezyjna #         jurekblach@wp.pl     #(62) 784 70 42
Bmgeo Bartosz Mróz #         bartekmro@gmail.com     #694 662 022
Bobak Adam Usługi Geodezyjne ##603 773 291
Bobela Łukasz Usługi Geodezyjne ##600 975 066
Bochenek Teresa Usługi Geodezyjne #         teresa.bochenek.geodezja@gmail.com     #603 105 891
Boczkan Marek Usługi Geodezyjno-Kartograficzne #         geopomiar@interia.eu     #694 469 024
Bodo Damian Usługi Geodezyjne #         dbodo.geo@wp.pl     #509 571 149
Bogdan Babiński Biuro Geodezyjne Geo-Proces ##784 355 311
Bogdan Białkowski Andrzej Ratajski Andrzej Hejducki Wspólnicy Spółki Cywilnej Biuro Usług Geodezyjnych Geopol #         geopolrawicz@interia.pl     #(65) 546 45 28
Bogdan Wehr Przedsiębiorstwo Usług Geodezyjnych i Kartograficznych ##607 304 926
Bogucki Krzysztof Feliks Usługi Geodezyjne ##(46) 863 52 51
Bogumiła Niziołek Geospin ##698 325 261
Boguska Urszula Usługi Geodezyjne #         bboguski@interia.pl     #(91) 462 99 16
Bogusław Bijoś Przedsiębiorstwo Robót Inżynieryjnych Geo Sp. z o.o. #         prigeo@adres.pl     #(16) 628 40 00
Bogusław Niedziela Zespół Inżyniersko-Geodezyjny #         kokpit1@interia.pl     #(18) 352 20 48
Bogusz Włodarczyk Usługi Geodezyjne Tamam #         bogusz.wlodarczyk@gmail.com     #691 434 454
Boman Nieruchomości Geodezja Bogusław Małecki #         boguslawmalecki@op.pl     #503 137 257
Bomar Usługi Geodezyjno-Kartograficzne Stefan Borzęcki #         s.borzecki@wp.pl     #(32) 455 67 92
Borowiecki Zbigniew Usługi Geodezyjne Projektowanie w Budownictwie #         zborowiecki@wp.pl     #(81) 443 35 05
BO-TECH BIURO USŁUG TECHNICZNO-INŻYNIERYJNYCH TOMASZ BOBER #         tbbotech@gmail.com     #783 504 554
Bożena Łuczak ##(43) 843 18 01
Bożena Stankiewicz ##(23) 672 66 27
BP Geodezja Usługi Geodezyjne mgr inż. Patrycjusz Bromirski #         bpgeodezja@gmail.com     #510 431 018
Brodalka Roman Usługi Geodezyjne #         romanb@wp.pl     #(58) 553 83 22
Broniewicz Katarzyna Usługi Geodezyjne #         kbroniewicz@o2.pl     #509 048 140
Brożyna Łukasz Usługi Geodezyjne i Szacowanie Nieruchomości #         broluka@wp.pl     #608 628 662
Bruniecka Maria Biuro Geodezji #         biurogeo@interia.pl     #608 704 063
Bruniecki Sławomir Biuro Geodezji #         biurogeo@interia.pl     #(55) 270 95 03
Brych Małgorzata Firma Usługowa ##(61) 292 56 64
Brzęczek Zbigniew Przedsiębiorstwo Usługowo-Handlowe Pracownia Geodezyjna #         z.brzeczek@wp.pl     #603 603 126
Brzostek Rafał Geo-Vision Usługi Geodezyjne i Kartograficzne #         geo-vision@o2.pl     #537 519 889
Brzozowski Geodezja -Inżynieria- Nieruchomości Łukasz Brzozowski #         lukasz@brzozowski.net.pl     #504 406 696
BS4 S.C. Firma Doradczo-Inżynieryjna ##(12) 276 00 44
Bs-Consulting Usługi Inżynieryjno-Budowlane Stanisław Bartosik ##694 240 430
BSGEO Michał Stanisławczyk ##506 084 341
Bud - Kan Zygmunt Wysocki Przedsiębiorstwo Budowlano - Inżynieryjne #         wysocki@budkan.com     #(71) 346 63 84
Bud Most Sp. z o.o. Przedsiębiorstwo Robót Inżynieryjnych ##600 271 234
Budecon S.A. Przedsiębiorstwo Inżynieryjno-Budowlane #         biuro@budecon.pl     #(32) 299 55 95
Budex Sp. z o.o. Przedsiębiorstwo Budowlano-Inżynieryjne ##(22) 578 10 93
Budgeo Ryszard Budziński ##602 881 288
Bud-Inspekt Tomasz Głuszek Usługi Inżynieryjne #         tomaszgluszek@budinspekt.com     #796 277 928
Budinż Przedsiębiorstwo Budowlano-Inżynieryjne #         budinz@o2.pl     #(94) 374 05 66
Budinż Przedsiębiorstwo Budownictwa Inżynieryjnego Jolanta Błaszczyk #         budinz@op.pl     #(62) 734 33 08
Bud-Kom Zakład Robót Inżynieryjnych Karol Kocjan #         budkomolkusz@wp.pl     #604 204 808
Budmap Mariusz Ochoński ##501 530 524
Bud-Map Usługi Geodezyjne Jarosław Tomaszkiewicz #         jarektomaszkiewicz@o2.pl     #505 782 831
“Budmar-Geo” Usługi Budowlano-Projektowe i Geodezyjno-Kartograficzne Mariusz Rejman #         mariuszrejman@wp.pl     #607 919 817
Budoland Przedsiębiorstwo Inżynieryjno-Budowlane Michał Radoń #         biuro@budoland.com.pl     #507 221 836
Budomont Przedsiębiorstwo Robót Inżynieryjno-Montażowych Tadeusz Głowicki ##(48) 614 81 44
Budomont S.C. Przedsiębiorstwo Robót Inżynieryjnych i Montażowych Tadeusz i Bartłomiej Głowiccy ##(48) 614 81 44
Budownictwo Drogowe i Inżynieryjne Daniel Drzazga #         danieldrzazga@wp.pl     #605 226 594
Budownictwo Drogowo Inżynieryjne Grzegorz Dziedzic #         grzegorzdziedzic76@wp.pl     #Oceń firmę i napisz o niej opinię:
Budownictwo Drogowo-Inżynieryjne Pama Paweł Zdanowski #         bdipama@gmail.com     #602 408 975
Budownictwo Inżynieryjne Izabela Perz ##509 780 534
Budownictwo Inżynieryjne Paweł Dulian ##512 815 573
Budownictwo Inżynieryjne Piotr Jarząbek #         piojar@o2.pl     #662 372 587
Budownictwo Inżynieryjne Tomasz Dębicki #         debickitomasz@wp.pl     #696 084 315
Budownictwo Inżynieryjne Wojciech Perz #         wojtek.perz@wp.pl     #508 285 096
Budownictwo Ogólne i Inżynieryjne S.C. Krzysztof Maćkowski Czesław Maćkowski #         krzysztof31-60@o2.pl     #509 572 858
Budownictwo Przemysłowe i Inżynieryjne Przemysław Pelczar #         przemekpelczar@o2.pl     #696 869 722
Budownictwo Torowo Inżynieryjne Adam Adamczyk #         adziob@poczta.fm     #(32) 211 02 85
Budownictwo Wodno-Inżynieryjne i Drogowe Sp. z o.o. ##(32) 210 40 31
Budych Krzysztof Usługi Geodezyjno-Kartograficzne #         geobud1033@wp.pl     #601 575 907
Budzyński Sławomir Usługi Geodezyjne #         budzynskislawek@interia.pl     #505 144 115
BUG S.C. Biuro Usługowo-Geodezyjne ##(12) 386 26 53
BUG Tomasz Biernat #         geo.tb@wp.pl     #668 720 850
Bugi Biuro Usług Geodezyjno-Inżynierskich Inż. Dariusz Rogowski #         drogowski@poczta.fm     #603 361 293
Bulcewicz Piotr Biuro Geodezyjno-Kartograficzne #         geodetaswidwin@gmail.com     #666 388 367
Bura Dorota Usługi Geodezyjno-Kartograficzne #         dorota576@op.pl     #607 430 111
Burczyk Roman Usługi Geodezyjne #         romanburczyk@wp.pl     #603 881 652
Burek Jerzy Usługi Geodezyjne #         jurekgeo@poczta.onet.pl     #604 267 765
Burnatowska Halina Usługi Geodezyjne ##(18) 352 53 59
Burzyński Michał Przedsiębiorstwo Usługowe #         leszek@geodezja.pl     #(89) 758 65 05
Buzun Rafał Pracownia Geodezyjna #         geodezja9@wp.pl     #(87) 643 30 55
Bytniewski Andrzej Pracownia Geodezyjna #         a.bytniewski@onet.pl     #Oceń firmę i napisz o niej opinię:
Bzm-Warmex Sp. z o.o. Przedsiębiorstwo Inżynieryjne #         warmex@warmex.pl     #Oceń firmę i napisz o niej opinię:
Caban Andrzej Usługi Geodezyjne #         andrzejcaban@op.pl     #604 723 597
Cadgeo Sp. z o.o. ##(34) 362 86 68
Cad-Inwest Usługi Geodezyjne i Wycena Nieruchomości Beata Sroka #         witold.sroka@vp.pl     #606 483 376
Cadm Usługi Inżynieryjne Łukasz Lewandowski ##(91) 461 34 79
Castor Przedsiębiorstwo Robót Inżynieryjno - Budowlanych Tadeusz Kuhn #         prib.castor@wp.pl     #Oceń firmę i napisz o niej opinię:
Catman Usługi Inżynieryjno-Budowlane Sławomir Tercjak ##502 549 972
Cdc-Ex Mariusz Cholewa Komputerowe Systemy Inżynieryjne ##600 855 710
CE-Geo Biuro Geodezji i Kartografii #         cegeo@vp.pl     #602 479 269
Celej Tomasz Usługi Geodezyjno-Kartograficzne #         tcelej@wp.pl     #602 798 138
Centkowski Jacek - Usługi Geodezyjne ##603 590 541
Centrum Badań Terenowych Radosław Meissner ##695 941 747
Centrum Inżynieryjne Sp. z o.o. Sp. K. #         biuro@cisc.com.pl     #606 643 040
Centrum Inżynieryjne Zawada Targosz Sp.j. #         biuro@cisc.com.pl     #538 306 923
Centrum Kartografii Sp. z o.o. ##606 728 130
Centrum Usług Geodezyjnych X-Geo Wojciech Łasocha #         biuro.xgeo@gmail.com     #504 064 450
Centrum Usług Geodezyjnych X-Geo Wojciech Łasocha, Łukasz Łyś S.C. ##(84) 664 74 48
Certlab Centrum Doradczo - Laboratoryjne Marcin Klepin ##(52) 335 50 34
Cezary Kaniowski Biuro Usług Geodezyjnych Kan-Geo ##(12) 387 13 44
Chechelski Ryszard Pracownia Geodezyjna #         chemar@op.pl     #(18) 442 71 82
Chełkowski Bogumił Firma Inżynieryjna #         bogumil.chelkowski@neostrada.pl     #Oceń firmę i napisz o niej opinię:
Chmielowski Marcin Usługi Geodezyjne #         margeo@wp.pl     #602 695 975
Chodyka Przemysław Geomodus #         geomodus@wp.pl     #603 678 989
Cholewa Piotr Usługi Geodezyjne i Kartograficzne #         rwd@op.pl     #603 113 865
Choła Tomasz Usługi Geodezyjne #         geodaiso@op.pl     #(34) 317 72 13
Chomiak Jarosław - Usługi Geodezyjne ##666 849 714
Chomik Krzysztof Przedsiębiorstwo Inżynieryjno-Budowlane #         krzysztof@chomik.com.pl     #(32) 613 81 12
CHORO Usługi Geodezyjne #         kontakt@choro.pl     #606 381 982
Choroba Marian Usługi Geodezyjne ##(94) 365 22 48
Chowaniec Barbara Usługi Geodezyjno-Kartograficzne ##(32) 211 07 49
Chrobok Dawid Usługi Sprzętowo-Inżynieryjno-Budowlane #         dawidchrobok@wp.pl     #608 620 654
Chrząścik Anna Usługi Geodezyjno-Kartograficzne Pryzmat #         pryzmatgeodezja@op.pl     #505 167 541
Chwaszcz Tadeusz Usługi Geodezyjne ##(17) 853 00 61
Cichoń Zbigniew Geodeta Uprawniony ##(12) 272 08 14
Cichosz Bigo Zachlod S.C. Usługi Geodezyjne ##(32) 252 18 50
Cichy Marcin Usługi Geodezyjne ##501 765 803
Ciurko Andrzej Pracownia Geodezyjna ##(89) 762 22 03
Ciźla Sylwester Geo-Partner #         geopartnerkoszalin@gmail.com     #504 029 759
CM Geodezja Marek Kuchta #         cmkuchta@poczta.onet.pl     #692 125 955
Cnc Sp. z o.o. w Organizacji Zakład Inżynieryjny Mechanicy ##(22) 758 60 61
Cola Usługi Geodezyjne i Budowlane Marek Colavincento #         geocola@wp.pl     #501 448 555
Colidrone Sp. z o.o. #         biuro@colidrone.pl     #661 375 385
Compass Usługi Geodezyjne Piotr Zdunek #         biuro@compass.stargard.pl     #601 930 178
Complex Usługi Inżynieryjne Anita Kizior-Żymuła #         anitakizior@interia.pl     #Oceń firmę i napisz o niej opinię:
ComplexGeo Geodeta Olewniczak Rafał #         biuro@complexgeo.pl     #691 735 979
Connexus Geodezja Sp. z o.o. #         biuro@connexus.org.pl     #608 430 420
Connexus Robert Szymański #         biuro@connexus.org.pl     #608 430 420
ConspecT Firma Inżynieryjno-Konsultingowa #         aqua.conspect@gmail.com     #601 406 072
Const-Invest S.C. #         biuro.cinvest@gmail.com     #608 359 294
Coriolis Pro S.C. ##(91) 440 35 84
Croma Usługi Geodezyjne Szymon Żegarski ##602 449 972
Croma Usługi Geodezyjne Szymon Żegarski #         zegarski@go2.pl     #602 449 972
Cyberski Przemysław Usługi Geodezyjno-Kartograficzne Przemysław Cyberski ##(75) 643 59 47
Cybulski Grzegorz Usługi Geodezyjne ##604 223 211
Cybulski Krzysztof Usługi Inżynieryjno-Projektowe ##501 192 356
Cychol Chwiałkowska Marzena Top Geo Usługi Geodezyjne ##600 919 792
Cygan Robert Geoexpres-Usługi Geodezyjne i Kartograficzne Robert Cygan ##602 121 355
Czachowicz Marek Usługi Geodezyjne #         aczachowicz@wp.pl     #602 861 824
Czaicki Krzysztof Geo-Pro-Serwis Usługi Inżynieryjno-Techniczne ##603 812 388
Czarnecki Mariusz Usługi Geodezyjne #         biurogeodezji@wp.pl     #503 034 212
Czechowicz Marcin Usługi Geodezyjne #         mczech@interia.pl     #(33) 863 91 08
Czechowicz Ryszard Usługi Geodezyjne #         marcin.czechowicz@op.pl     #(33) 863 91 08
Czekalski Jarosław Usługi Geodezyjne ##(41) 377 96 70
Czernik Janusz Usługi Geodezyjne i Kartograficzne #         czernik.janusz@op.pl     #609 270 938
Czerski Jerzy Zakład Robót Drogowo-Inżynieryjnych ##(25) 633 06 54
Czerski Trade Polska Sp. z o.o. #         ctp@czerski.com     #(22) 825 43 65
Czura Dariusz Biuro Usług Geodezyjnych i Kartograficznych ##604 774 018
DABRO Geodezyjna Obsługa Inwestycji #         geodezja@dabro.pl     #600 269 505
Dabro-Geodezja Przedsiębiorstwo Usługowe Paweł Dąbrowski ##600 269 505
Dachtera Witold Usługi Geodezyjno-Kartograficzne #         wdachtera@vp.pl     #(63) 274 35 80
Daleszak Jan Usługi Geodezyjne i Kartograficzne ##(41) 306 14 94
Dal-Geo Usługi Geodezyjne #         dalgeo@wp.pl     #509 229 434
Dal-Mierz S.C. Firma Geodezyjna Lech Chybicki Tomasz Chybicki #         dalmierz@wp.pl     #665 490 099
Dan-Geo Daniel Kinowski Jadwiga Kinowska #         danielkinowski@gmail.com     #511 668 655
Daniel Tusk Usługi Geodezyjne #         danieltusk@poczta.fm     #608 795 253
Daniel Wasiak Usługi Geodezyjne ##502 586 080
Daniel Wiśniewski Usługi Geodezyjne #         d-wisniewski@o2.pl     #696 487 624
Dan-Jan Przedsiębiorstwo Inżynieryjne Sp. z o.o. #         dmg@onet.com.pl     #Oceń firmę i napisz o niej opinię:
Danuta Bajgrowicz Usługi Geodezyjno-Kartograficzne ##502 989 051
Danuta Janicka Usługi Geodezyjne #         janicki.janusz@geogryf.pl     #601 157 646
Danuta Kawka- Usługi Geodezyjne #         kawka.danuta@wp.pl     #Oceń firmę i napisz o niej opinię:
Dańczura Roland Usługi Geodezyjne #         georol@wp.pl     #(91) 397 38 82
Darbud Przedsiębiorstwo Inżynieryjne Beata Daria Wirbał ##510 189 242
Darek Usługi Geodezyjne Dariusz Sobiech #         sobiechdarek@wp.pl     #509 610 436
Dariusz Dworzecki Geodezja i Radiestezja #         biuro@dworzecki.pl     #661 942 060
Dariusz Jawniak Usługi Geodezyjne Kompleksowa Geodezyjna Obsługa Inwestycji: Mapy Geodezyjne, Pomiary, Kartografia #         edjaw@poczta.fm     #509 162 725
Dariusz Kierzenka Pracownia Geodezyjno-Kartograficzna Iksigrek ##512 480 366
Dariusz Michałowski Przedsiębiorstwo Inżynieryjno Konsultingowe Logam ##605 570 187
Dariusz Nawrocki Usługi Geodezyjne #         julkrest@onet.pl     #696 291 709
Dariusz Skrzypczak Usługi Projektowo Inżynieryjne #         dsprojekt@wp.eu     #Oceń firmę i napisz o niej opinię:
Dariusz Śnieg Usługi Geodezyjno - Kartograficzne Geotras #         geodezja.geotras@interia.eu     #504 270 875
Dariusz Zaremba Usługi Geodezyjne ##(52) 357 36 70
Dark Marek Falkowski #         marekfal@o2.pl     #(58) 627 40 73
Dark Marek Falkowski ##692 433 493
Darocha Mieczysław Usługi Geodezyjno-Kartograficzne #         darocha_m@op.pl     #(13) 461 22 76
Dartech Dariusz Pośpiech ##(32) 222 17 10
Dawid Wąsowicz Pracownia Geodezyjno-Kartograficzna Iksigrek ##517 660 646
Dąbrowicz Leszek Techniki Inżynieryjne #         amkl@op.pl     #606 758 738
Dąbrowska-Gorecka Marta Intergeo Biuro Geodezyjne ##607 316 419
Dąbrowski Karol Geodeta #         komik@poczta.onet.pl     #694 659 003
Db-Geo Daniel Bojarowski #         daniel.bojarowski@wp.pl     #511 024 359
Dc-Geo Usługi Geodezyjno-Kartograficzne Dominik Chwastek ##510 108 183
DE KA ER Zespół Geodetów Uprawnionych #         biuro@dekaer.com.pl     #601 485 692
Debit Usługi Geodezyjne #         debit@interia.pl     #605 190 500
